Variable,parcode,sd01T1.1,sd01T1.2,sd02T1.1,sd02T1.2,sd04T1.1,sd04T1.2,sd05aT1.1,sd05aT1.2,reldur.1,reldur.2,m_n_s.1,m_n_s.2,m_e_s.1,m_e_s.2,m_o_s.1,m_o_s.2,m_a_s.1,m_a_s.2,m_c_s.1,m_c_s.2,m_ras.1,m_ras.2,m_rasT2.1,m_rasT2.2,psd_m_n_s.1,psd_m_n_s.2,psd_m_e_s.1,psd_m_e_s.2,psd_m_o_s.1,psd_m_o_s.2,psd_m_a_s.1,psd_m_a_s.2,psd_m_c_s.1,psd_m_c_s.2,psd_m_ras.1,psd_m_ras.2,psd_m_rasT2.1,psd_m_rasT2.2
,73,1.00,2.00,51,53,2,2,888.0,888.0,254,254,3,2,4,4,4,4,4,4,4,4,2,3,,,-0.23,-0.46,0.76,-0.04,0.44,0.04,-0.42,-0.58,0.12,-0.11,-3.95,-2.50,,
,74,1.00,2.00,55,47,2,2,888.0,888.0,168,168,4,3,4,2,4,3,4,4,5,3,5,4,5.00,5.00,2.08,1.14,-0.15,-1.86,0.26,-0.41,-0.63,0.04,1.07,-1.26,1.25,-0.46,1.23,1.13
,75,1.00,2.00,51,54,2,2,888.0,888.0,276,276,4,3,3,4,3,4,3,4,4,4,4,5,,,2.08,0.78,-1.24,0.51,-0.46,1.12,-1.47,0.88,0.31,0.27,-0.33,0.67,,
,76,1.00,2.00,49,51,2,2,888.0,888.0,265,265,4,2,3,3,3,3,4,3,5,4,3,4,3.86,3.43,1.55,-0.46,-0.44,-0.77,-0.82,-0.49,-0.26,-1.83,0.88,-0.11,-1.47,-0.92,-0.67,-1.49
,77,1.00,2.00,45,46,2,2,888.0,888.0,252,252,2,2,4,4,4,3,4,4,5,5,5,4,4.29,4.29,-0.76,-0.81,0.94,0.14,0.97,-1.92,0.41,0.88,1.65,1.23,0.57,-0.46,0.04,-0.06
,78,1.00,2.00,53,62,2,2,888.0,888.0,294,294,1,3,5,4,4,3,5,3,5,4,3,4,,,-2.53,0.07,1.31,1.06,1.15,-0.67,2.29,-1.63,1.65,0.27,-1.69,-0.92,,
,79,1.00,2.00,24,27,1,1,24.0,24.0,24,24,4,3,4,4,4,5,4,4,3,3,2,3,2.43,2.71,0.84,0.61,0.40,1.06,0.61,1.66,-0.84,0.25,-2.18,-1.64,-3.50,-2.50,-3.06,-2.68
,80,1.00,2.00,20,23,1,1,40.0,40.0,40,40,3,3,2,3,3,3,4,3,3,4,4,4,,,0.66,1.32,-1.97,-0.22,-0.82,-1.03,1.04,-1.21,-1.41,-0.49,-1.01,-0.69,,
,81,1.00,2.00,54,53,2,2,888.0,888.0,282,282,5,4,3,5,4,4,3,4,4,4,4,4,4.43,4.29,2.43,1.49,-0.51,1.60,1.15,1.30,-2.30,0.88,-0.46,0.66,-0.33,0.21,0.28,-0.06
,82,1.00,2.00,23,24,1,1,4.0,4.0,4,4,4,3,4,4,4,4,4,3,4,4,5,5,4.14,4.86,0.84,0.78,-0.15,0.51,0.97,0.58,0.41,-1.21,-0.27,0.08,1.02,1.12,-0.20,0.89
,83,1.00,2.00,19,20,1,1,29.0,29.0,29,29,4,4,3,3,4,3,4,4,4,1,4,3,,,1.55,2.20,-0.51,-0.40,0.44,-1.21,1.04,0.04,0.50,-4.51,-0.79,-1.82,,
,84,1.00,2.00,54,54,2,2,888.0,888.0,318,318,3,3,3,4,4,3,4,4,4,4,4,5,4.71,4.71,-0.23,0.61,-0.51,0.69,-0.28,-0.85,0.20,-0.58,-0.46,-0.11,0.34,0.89,0.76,0.65
,85,1.00,2.00,58,55,2,2,888.0,888.0,267,267,3,1,5,3,5,4,4,5,4,4,5,5,5.00,5.00,0.30,-1.88,1.86,-1.13,1.87,0.04,-0.01,1.51,-0.46,0.46,1.02,0.67,1.23,1.13
,86,1.00,2.00,47,59,2,2,888.0,888.0,220,220,3,3,4,4,5,4,4,4,5,4,5,4,4.29,4.29,0.30,0.07,-0.33,0.69,1.69,0.76,0.20,-0.37,1.27,-0.30,0.80,0.21,0.04,-0.06
,87,1.00,2.00,19,20,1,1,14.0,14.0,14,14,4,2,4,4,4,3,4,4,4,4,5,5,4.71,4.71,0.84,-0.64,0.58,0.69,-0.28,-1.57,-0.22,-0.16,-0.46,-0.11,1.25,1.12,0.76,0.65
,88,1.00,2.00,18,20,1,1,24.0,24.0,24,24,2,3,4,4,4,4,5,3,4,4,5,5,4.86,4.86,-0.76,0.43,0.58,0.69,-0.10,0.04,1.66,-1.21,0.50,-0.49,1.02,0.89,1.00,0.89
,89,1.00,2.00,47,51,2,2,888.0,888.0,254,255,4,2,4,4,3,4,3,4,4,4,5,5,4.86,4.86,1.19,-0.10,0.40,0.51,-1.53,-0.13,-1.47,-0.16,0.12,0.85,0.80,0.67,1.00,0.89
,90,1.00,2.00,76,80,2,2,888.0,888.0,586,586,3,2,4,3,3,3,5,3,5,4,4,4,4.43,3.86,-0.58,-0.64,0.40,-0.59,-0.82,-0.67,1.66,-1.83,1.27,0.46,-0.56,-0.24,0.28,-0.78
,91,1.00,2.00,56,56,2,2,888.0,888.0,257,257,5,2,4,3,3,3,5,5,3,4,4,4,,,2.61,-1.35,-0.33,-0.95,-1.35,-0.49,1.45,2.55,-1.22,0.66,-0.79,-0.24,,
,92,1.00,2.00,81,85,2,2,888.0,888.0,684,684,2,2,4,4,3,4,4,5,5,5,5,5,,,-1.11,-0.99,-0.33,0.87,-1.18,-0.31,0.83,1.51,0.88,1.42,1.02,0.89,,
,93,1.00,2.00,50,50,2,2,888.0,888.0,228,228,2,3,4,4,5,4,4,4,4,4,3,3,,,-0.76,0.07,0.94,0.14,1.51,0.76,0.62,0.67,-0.07,-0.11,-1.47,-1.82,,
,94,1.00,2.00,57,58,2,2,888.0,888.0,291,291,3,2,3,4,5,4,4,4,4,5,4,4,4.29,4.43,0.30,-0.99,-1.24,0.14,2.05,-0.13,0.62,1.09,0.31,1.61,-1.01,-0.46,0.04,0.18
,95,1.00,2.00,69,69,2,2,888.0,888.0,503,503,4,4,3,3,3,4,4,3,4,4,4,4,,,1.72,2.56,-0.88,-0.22,-1.53,0.58,-0.01,-1.00,0.12,-0.68,-0.79,-0.69,,
,96,1.00,2.00,18,18,1,1,13.0,13.0,13,13,3,2,3,4,4,4,4,4,5,3,4,4,,,0.48,-0.99,-1.24,1.24,0.97,1.30,-0.84,1.30,1.07,-1.07,0.12,-0.92,,
,97,1.00,2.00,50,57,2,2,888.0,888.0,325,325,2,2,4,3,3,4,4,4,5,4,4,4,,,-1.29,-0.46,0.94,-0.59,-1.35,-0.13,0.41,0.25,1.65,0.27,-0.56,-0.24,,
,98,1.00,2.00,53,51,2,2,888.0,888.0,242,242,3,3,3,4,4,4,4,4,4,5,3,3,,,0.66,0.07,-0.51,0.87,0.08,0.58,0.41,0.04,0.69,1.42,-1.47,-1.82,,
,99,1.00,2.00,49,49,2,2,888.0,888.0,241,241,3,2,3,3,3,4,4,4,3,4,4,4,,,0.13,-0.46,-1.43,-0.59,-1.18,0.40,-0.22,-0.58,-1.22,-0.11,0.34,-0.46,,
,100,1.00,2.00,49,47,2,2,888.0,888.0,232,228,2,4,4,5,4,5,4,4,5,5,5,5,,,-1.11,1.85,0.76,1.42,0.08,1.66,1.04,0.04,1.46,1.23,1.02,0.44,,
,101,1.00,2.00,74,80,2,2,888.0,888.0,600,600,3,2,4,4,4,5,4,4,4,5,5,5,4.71,4.29,0.48,-0.99,0.94,0.87,0.08,1.48,0.83,0.04,0.50,1.42,1.02,0.89,0.76,-0.06
,102,1.00,2.00,19,20,1,1,21.0,21.0,21,21,4,2,3,2,3,3,3,4,3,3,5,4,4.43,4.14,1.37,-0.81,-0.51,-1.68,-0.46,-1.75,-1.89,0.04,-1.80,-1.64,0.80,0.21,0.28,-0.30
,103,1.00,2.00,43,46,2,2,888.0,888.0,261,261,4,3,1,3,3,3,4,4,2,4,4,4,4.29,4.14,2.08,1.14,-3.61,-1.13,-1.00,-0.49,1.04,0.25,-4.29,0.46,-0.11,0.21,0.04,-0.30
,104,1.00,2.00,46,55,2,2,888.0,888.0,251,251,2,2,4,4,4,4,5,4,4,5,5,5,,,-1.29,-1.35,0.03,0.87,0.61,0.22,1.45,0.25,0.31,1.42,1.25,1.12,,
,105,1.00,2.00,82,92,2,2,888.0,888.0,756,756,2,3,4,3,4,4,4,3,3,4,5,5,,,-0.76,0.61,0.40,-0.59,0.44,-0.13,0.83,-1.00,-2.56,-0.49,1.25,1.12,,
,106,1.00,2.00,49,48,2,2,888.0,888.0,218,218,3,2,3,3,4,4,5,4,3,4,4,4,4.43,4.29,-0.58,-0.28,-1.79,-0.22,0.44,0.04,1.24,0.04,-1.41,0.08,-0.11,-0.01,0.28,-0.06
,107,1.00,2.00,48,56,2,2,888.0,888.0,265,265,2,2,4,4,3,3,4,4,5,4,5,5,4.71,4.86,-0.94,-0.46,0.76,0.33,-0.46,-0.49,0.41,0.04,1.27,0.66,0.57,0.89,0.76,0.89
,108,1.00,2.00,47,56,2,2,888.0,888.0,252,252,3,2,4,4,3,4,4,4,4,4,3,5,,,-0.41,-0.81,0.76,1.24,-1.00,0.22,1.04,0.46,0.12,0.46,-1.92,0.67,,
,109,1.00,2.00,79,80,2,2,888.0,888.0,596,596,4,4,2,5,4,4,3,3,5,4,4,3,,,1.72,1.49,-2.34,1.60,0.08,-0.13,-1.89,-1.63,1.46,-0.49,-0.56,-2.73,,
,110,1.00,2.00,75,78,2,2,888.0,888.0,623,634,2,1,4,5,5,4,4,5,4,4,4,5,4.57,4.86,-0.76,-1.88,0.40,1.60,1.51,0.22,0.83,2.13,0.12,0.85,0.34,1.12,0.52,0.89
,111,1.00,2.00,18,18,1,1,15.0,15.0,15,15,3,2,4,4,4,5,4,4,4,4,5,5,,,-0.05,-0.28,0.21,0.69,0.26,1.83,-0.22,0.46,-0.65,0.85,1.02,1.12,,
,112,1.00,2.00,45,49,2,2,888.0,888.0,242,242,2,3,3,3,4,4,4,5,4,4,3,4,3.71,4.14,-1.29,1.32,-1.43,-0.95,1.15,0.76,0.41,1.51,-0.46,0.08,-1.24,-0.24,-0.91,-0.30
,113,1.00,2.00,52,53,2,2,888.0,888.0,261,261,2,3,4,3,4,4,4,4,4,4,4,4,,,-0.76,0.78,0.40,-0.40,0.08,0.58,0.20,-0.16,-0.27,-0.11,-0.79,-1.14,,
,114,1.00,2.00,52,53,2,2,888.0,888.0,219,219,3,2,4,4,5,4,4,4,3,4,4,4,4.43,4.14,0.30,-0.81,0.40,0.51,1.51,1.30,-0.42,0.67,-1.03,0.46,0.34,-0.24,0.28,-0.30
,115,1.00,2.00,51,50,2,2,888.0,888.0,277,277,3,2,5,3,4,3,4,3,4,4,4,4,3.29,3.57,-0.05,-0.64,1.49,-1.50,0.08,-1.39,-0.01,-0.79,-0.46,0.08,-0.33,-0.92,-1.63,-1.25
,116,1.00,2.00,16,19,1,1,22.0,22.0,22,22,3,3,4,3,4,4,3,4,3,4,4,4,4.86,4.57,0.48,1.14,0.76,-0.40,0.26,0.40,-1.26,-0.37,-1.03,0.08,0.12,-0.92,1.00,0.42
,117,1.00,2.00,45,53,2,2,888.0,888.0,204,204,3,2,4,4,5,4,4,4,4,4,4,4,,,-0.41,-0.64,0.19,0.69,1.87,-0.13,0.62,0.46,0.31,-0.68,-0.11,-0.92,,
,118,1.00,2.00,48,50,2,2,888.0,888.0,246,246,4,1,4,4,4,4,4,4,4,4,4,4,3.71,3.86,1.19,-1.70,0.58,0.51,0.79,0.40,-0.84,0.67,-0.84,0.66,-0.56,-0.69,-0.91,-0.78
,119,1.00,2.00,43,999,2,2,888.0,888.0,237,237,4,3,2,2,3,2,3,3,3,3,3,3,3.29,3.00,1.37,0.61,-2.16,-1.68,-1.71,-2.64,-2.51,-2.04,-2.37,-2.03,-1.24,-2.05,-1.63,-2.20
,120,1.00,2.00,50,52,2,2,888.0,888.0,291,291,3,1,4,3,3,3,3,3,4,4,5,5,4.86,4.57,0.13,-1.58,0.03,-0.48,-2.07,-1.72,-1.47,-1.03,0.50,0.57,0.57,0.44,1.00,0.42
,121,1.00,2.00,45,51,1,4,255.0,255.0,255,252,3,2,4,4,4,3,4,4,5,4,4,4,,,0.13,-0.64,0.58,0.51,0.61,-0.67,0.20,0.46,0.88,-0.30,-1.01,-0.46,,
,122,1.00,2.00,46,49,2,2,888.0,888.0,234,234,1,2,4,4,4,4,4,4,4,4,4,4,,,-2.18,-0.28,0.94,0.69,1.33,0.94,0.62,0.04,0.69,0.46,-0.79,-0.69,,
,123,1.00,2.00,80,79,2,2,888.0,888.0,640,640,2,3,2,3,3,4,4,3,5,3,4,,,,-1.82,1.32,-2.52,-0.22,-1.71,1.12,0.62,-1.21,1.46,-1.26,-0.33,,,
,124,1.00,2.00,41,43,2,2,888.0,888.0,257,257,3,3,3,4,3,3,4,4,4,4,4,4,4.14,4.00,0.30,0.07,-0.88,-0.04,-1.71,-1.21,0.20,0.46,0.50,-0.11,0.34,-0.01,-0.20,-0.54
,125,1.00,2.00,69,69,2,2,888.0,888.0,563,563,3,3,4,4,4,4,3,4,4,4,4,4,3.71,3.57,0.48,0.43,0.40,0.51,0.08,-0.13,-1.47,0.00,0.50,0.85,-0.79,-0.92,-0.91,-1.25
,126,1.00,2.00,19,20,1,1,49.0,49.0,49,49,2,2,5,3,4,3,4,4,5,3,5,4,,,-0.94,-0.46,1.13,-0.40,-0.10,-1.75,0.41,0.04,1.46,-1.07,1.02,-0.24,,
,127,1.00,2.00,18,19,1,1,20.0,20.0,20,20,2,2,5,4,4,4,4,3,5,3,5,5,,,-1.82,-1.17,1.31,1.24,0.44,-0.31,0.90,-1.21,0.79,-1.26,1.02,0.44,,
,128,1.00,2.00,19,18,1,1,28.0,28.0,28,28,3,3,4,4,3,4,4,4,4,3,5,5,,,0.66,0.96,0.03,0.87,-0.46,0.58,-0.01,-0.16,-0.46,-0.88,1.25,0.89,,
,129,1.00,2.00,18,19,1,1,19.0,19.0,19,19,3,3,5,3,3,4,4,3,3,3,5,5,,,-0.23,0.25,1.13,-0.95,-0.46,0.04,0.62,-0.79,-1.80,-2.22,1.02,0.67,,
,130,1.00,2.00,25,25,1,1,85.0,85.0,85,85,3,3,3,5,4,4,4,4,4,4,5,4,4.43,4.57,-0.58,0.25,-0.51,1.60,0.08,1.30,-0.01,0.25,0.31,-0.49,0.80,-0.01,0.28,0.42
,131,1.00,2.00,999,51,1,1,146.0,146.0,146,146,3,2,2,3,4,3,4,4,4,4,3,4,2.86,3.29,0.66,-0.64,-2.70,-0.95,0.08,-1.39,-0.01,0.04,-0.07,-0.11,-1.92,-0.69,-2.34,-1.73
,132,1.00,2.00,65,71,2,2,888.0,888.0,445,445,3,1,5,3,5,3,2,4,4,4,2,4,2.57,3.86,0.66,-1.52,1.86,-1.13,1.87,-0.49,-4.60,0.67,-0.07,0.66,-3.05,-0.69,-2.82,-0.78
,133,1.00,2.00,41,40,2,2,888.0,888.0,219,219,3,2,4,4,4,4,4,4,4,4,3,,,,-0.58,-0.28,0.03,1.06,0.44,0.38,-0.84,0.04,0.69,0.46,-1.92,,,
,134,1.00,2.00,68,76,4,5,72.0,80.0,76,76,3,3,4,3,4,4,4,4,4,5,3,3,3.43,2.86,0.30,1.14,0.21,-1.32,0.79,0.94,0.20,1.09,-0.07,1.04,-2.37,-2.73,-1.39,-2.44
,135,1.00,2.00,26,26,1,1,47.0,47.0,47,47,4,3,3,3,3,4,3,4,3,3,5,4,5.00,4.71,1.72,0.43,-1.79,-0.95,-0.82,0.58,-1.68,1.09,-1.41,-1.26,1.02,0.21,1.23,0.65
,136,1.00,2.00,24,23,1,1,87.0,87.0,87,87,2,2,4,3,4,3,4,4,5,4,4,5,4.43,4.57,-0.76,-0.28,0.76,-0.40,0.08,-0.67,-0.01,0.67,1.46,-0.30,0.34,0.67,0.28,0.42
,137,1.00,2.00,59,60,2,2,888.0,888.0,382,382,4,2,4,3,4,4,4,4,3,4,3,4,3.29,4.43,1.55,-0.81,0.21,-0.40,1.33,-0.31,-0.01,-0.37,-2.18,0.08,-1.47,-0.24,-1.63,0.18
,138,1.00,2.00,67,70,2,2,888.0,888.0,553,553,4,4,2,3,4,4,4,4,4,4,4,5,4.29,4.57,1.55,1.67,-1.97,-1.50,-0.28,1.12,0.20,-0.58,-0.07,0.27,0.34,0.67,0.04,0.42
,139,1.00,2.00,61,63,2,2,888.0,888.0,460,460,4,3,5,4,4,3,4,4,4,4,3,3,3.14,3.71,0.84,0.61,1.13,0.51,0.97,-0.85,-0.22,0.25,-0.07,0.08,-1.92,-1.60,-1.86,-1.01
,140,1.00,2.00,78,83,2,2,888.0,888.0,623,623,1,2,2,4,3,4,4,4,4,4,5,5,4.86,4.57,-2.18,-0.28,-2.52,0.14,-0.64,0.04,-0.42,1.09,-0.27,-0.11,1.25,0.44,1.00,0.42
,141,1.00,2.00,53,61,2,2,888.0,888.0,254,254,3,4,2,4,2,4,4,4,4,3,3,4,2.71,4.29,-0.58,1.49,-2.52,0.69,-2.61,1.12,-0.63,-0.16,-0.84,-1.07,-1.47,-0.46,-2.58,-0.06
,142,1.00,2.00,85,74,1,1,332.0,332.0,332,332,,2,,3,,3,,3,,4,3,4,3.00,3.86,,-0.03,,-1.32,,-1.57,,-0.79,,-0.11,-2.14,-0.01,-2.10,-0.78
,143,1.00,2.00,68,76,5,5,14.0,14.0,14,14,2,2,4,4,4,4,5,4,4,4,5,5,4.71,4.71,-1.29,-0.28,0.40,0.51,0.44,-0.31,1.24,0.04,0.69,0.46,1.02,0.89,0.76,0.65
,144,1.00,2.00,59,64,2,2,888.0,888.0,411,411,2,2,3,4,4,4,5,4,5,5,5,5,5.00,4.86,-1.11,-0.46,-0.88,0.51,0.79,-0.31,2.29,1.30,1.46,1.23,1.25,1.12,1.23,0.89
,145,1.00,2.00,26,30,1,1,44.0,44.0,44,44,4,2,4,3,4,5,4,3,4,3,5,5,4.43,4.14,1.37,-0.10,0.76,-0.22,-0.10,1.83,0.20,-2.04,0.31,-1.45,0.80,0.89,0.28,-0.30
,146,1.00,2.00,60,63,2,2,888.0,888.0,387,387,2,3,5,3,4,5,4,3,4,5,5,5,4.86,5.00,-1.65,0.43,1.86,-0.40,0.79,1.48,0.83,-1.63,0.31,1.04,1.02,1.12,1.00,1.13
,147,1.00,2.00,67,69,2,2,888.0,888.0,485,485,3,3,4,2,4,3,4,4,5,5,5,4,4.57,4.57,-0.41,0.78,-0.33,-1.86,1.33,-0.67,1.04,1.30,1.27,1.42,0.57,0.21,0.52,0.42
,148,1.00,2.00,39,38,2,2,888.0,888.0,182,182,4,3,5,3,3,3,4,4,5,4,5,5,4.86,4.57,0.84,0.25,1.13,-1.13,-1.35,-0.49,-0.42,-0.58,0.88,0.46,0.80,0.44,1.00,0.42
,149,1.00,2.00,68,69,2,2,888.0,888.0,578,578,4,3,4,3,4,5,5,3,4,4,3,2,,,0.98,0.61,0.15,-0.95,0.26,1.66,1.24,-1.63,0.62,-0.30,-2.37,-2.95,,
,150,1.00,2.00,66,78,4,5,213.0,213.0,213,213,3,1,4,5,5,4,4,4,4,5,4,4,3.29,4.00,-0.23,-1.70,0.21,1.97,1.51,1.30,-0.01,0.46,0.31,1.61,-0.56,-1.14,-1.63,-0.54
,151,1.00,2.00,48,52,2,2,888.0,888.0,277,277,1,3,4,4,4,4,4,4,5,4,4,4,4.86,4.14,-2.36,0.07,0.76,0.87,0.26,0.76,0.41,-0.16,1.27,0.46,-0.11,0.21,1.00,-0.30
,152,1.00,2.00,54,57,2,2,888.0,888.0,386,386,3,3,4,3,3,3,4,4,3,3,3,4,3.29,3.86,0.13,0.96,0.58,-0.56,-0.46,-1.03,-0.63,-0.37,-1.80,-0.88,-1.24,-0.01,-1.63,-0.78
,153,1.00,2.00,54,54,2,2,888.0,888.0,17,17,3,1,4,5,4,5,4,5,5,5,5,5,4.43,4.86,-0.58,-1.70,0.94,2.15,0.44,2.37,-0.22,1.51,1.07,1.04,0.57,1.12,0.28,0.89
,154,1.00,2.00,60,64,2,2,888.0,888.0,413,413,2,2,5,4,4,4,4,4,4,4,5,4,,,-0.94,-0.81,1.31,0.51,-0.28,0.58,-0.63,0.67,-0.27,0.66,1.02,-0.69,,
