paarcode,g_1,g_2,age_1,age_2,civil_status_1,civil_status_2,duration_months_1,duration_months_2,n_m_1,n_m_2,n_e_1,n_e_2,n_o_1,n_o_2,n_a_1,n_a_2,n_c_1,n_c_2,mean_relationship_satisfaction_1,mean_relationship_satisfaction_2,mean_relationship_satisfaction_T2_1,mean_relationship_satisfaction_T2_2,pooled_standardized_n_1,pooled_standardized_n_2,pooled_standardized_e_1,pooled_standardized_e_2,pooled_standardized_o_1,pooled_standardized_o_2,pooled_standardized_a_1,pooled_standardized_a_2,pooled_standardized_c_1,pooled_standardized_c_2,pooled_standardized_relationship_satisfaction_1,pooled_standardized_relationship_satisfaction_2,pooled_standardized_relationship_satisfaction_T2_1,pooled_standardized_relationship_satisfaction_T2_2
116,1,2,16,19,1,1,22,22,3,3,4,3,4,4,3,4,3,4,4,4,4.86,4.57,0.48,1.14,0.76,-0.4,0.26,0.4,-1.26,-0.37,-1.03,0.08,0.12,-0.92,1,0.42
117,1,2,45,53,2,2,204,204,3,2,4,4,5,4,4,4,4,4,4,4,,,-0.41,-0.64,0.19,0.69,1.87,-0.13,0.62,0.46,0.31,-0.68,-0.11,-0.92,,
118,1,2,48,50,2,2,246,246,4,1,4,4,4,4,4,4,4,4,4,4,3.71,3.86,1.19,-1.7,0.58,0.51,0.79,0.4,-0.84,0.67,-0.84,0.66,-0.56,-0.69,-0.91,-0.78
120,1,2,50,52,2,2,291,291,3,1,4,3,3,3,3,3,4,4,5,5,4.86,4.57,0.13,-1.58,0.03,-0.48,-2.07,-1.72,-1.47,-1.03,0.5,0.57,0.57,0.44,1,0.42
121,1,2,45,51,1,4,255,252,3,2,4,4,4,3,4,4,5,4,4,4,,,0.13,-0.64,0.58,0.51,0.61,-0.67,0.2,0.46,0.88,-0.3,-1.01,-0.46,,
122,1,2,46,49,2,2,234,234,1,2,4,4,4,4,4,4,4,4,4,4,,,-2.18,-0.28,0.94,0.69,1.33,0.94,0.62,0.04,0.69,0.46,-0.79,-0.69,,
123,1,2,80,79,2,2,640,640,2,3,2,3,3,4,4,3,5,3,4,,,,-1.82,1.32,-2.52,-0.22,-1.71,1.12,0.62,-1.21,1.46,-1.26,-0.33,,,
124,1,2,41,43,2,2,257,257,3,3,3,4,3,3,4,4,4,4,4,4,4.14,4,0.3,0.07,-0.88,-0.04,-1.71,-1.21,0.2,0.46,0.5,-0.11,0.34,-0.01,-0.2,-0.54
125,1,2,69,69,2,2,563,563,3,3,4,4,4,4,3,4,4,4,4,4,3.71,3.57,0.48,0.43,0.4,0.51,0.08,-0.13,-1.47,0,0.5,0.85,-0.79,-0.92,-0.91,-1.25
126,1,2,19,20,1,1,49,49,2,2,5,3,4,3,4,4,5,3,5,4,,,-0.94,-0.46,1.13,-0.4,-0.1,-1.75,0.41,0.04,1.46,-1.07,1.02,-0.24,,
127,1,2,18,19,1,1,20,20,2,2,5,4,4,4,4,3,5,3,5,5,,,-1.82,-1.17,1.31,1.24,0.44,-0.31,0.9,-1.21,0.79,-1.26,1.02,0.44,,
128,1,2,19,18,1,1,28,28,3,3,4,4,3,4,4,4,4,3,5,5,,,0.66,0.96,0.03,0.87,-0.46,0.58,-0.01,-0.16,-0.46,-0.88,1.25,0.89,,
129,1,2,18,19,1,1,19,19,3,3,5,3,3,4,4,3,3,3,5,5,,,-0.23,0.25,1.13,-0.95,-0.46,0.04,0.62,-0.79,-1.8,-2.22,1.02,0.67,,
130,1,2,25,25,1,1,85,85,3,3,3,5,4,4,4,4,4,4,5,4,4.43,4.57,-0.58,0.25,-0.51,1.6,0.08,1.3,-0.01,0.25,0.31,-0.49,0.8,-0.01,0.28,0.42
132,1,2,65,71,2,2,445,445,3,1,5,3,5,3,2,4,4,4,2,4,2.57,3.86,0.66,-1.52,1.86,-1.13,1.87,-0.49,-4.6,0.67,-0.07,0.66,-3.05,-0.69,-2.82,-0.78
133,1,2,41,40,2,2,219,219,3,2,4,4,4,4,4,4,4,4,3,,,,-0.58,-0.28,0.03,1.06,0.44,0.38,-0.84,0.04,0.69,0.46,-1.92,,,
134,1,2,68,76,4,5,76,76,3,3,4,3,4,4,4,4,4,5,3,3,3.43,2.86,0.3,1.14,0.21,-1.32,0.79,0.94,0.2,1.09,-0.07,1.04,-2.37,-2.73,-1.39,-2.44
135,1,2,26,26,1,1,47,47,4,3,3,3,3,4,3,4,3,3,5,4,5,4.71,1.72,0.43,-1.79,-0.95,-0.82,0.58,-1.68,1.09,-1.41,-1.26,1.02,0.21,1.23,0.65
136,1,2,24,23,1,1,87,87,2,2,4,3,4,3,4,4,5,4,4,5,4.43,4.57,-0.76,-0.28,0.76,-0.4,0.08,-0.67,-0.01,0.67,1.46,-0.3,0.34,0.67,0.28,0.42
137,1,2,59,60,2,2,382,382,4,2,4,3,4,4,4,4,3,4,3,4,3.29,4.43,1.55,-0.81,0.21,-0.4,1.33,-0.31,-0.01,-0.37,-2.18,0.08,-1.47,-0.24,-1.63,0.18
138,1,2,67,70,2,2,553,553,4,4,2,3,4,4,4,4,4,4,4,5,4.29,4.57,1.55,1.67,-1.97,-1.5,-0.28,1.12,0.2,-0.58,-0.07,0.27,0.34,0.67,0.04,0.42
139,1,2,61,63,2,2,460,460,4,3,5,4,4,3,4,4,4,4,3,3,3.14,3.71,0.84,0.61,1.13,0.51,0.97,-0.85,-0.22,0.25,-0.07,0.08,-1.92,-1.6,-1.86,-1.01
140,1,2,78,83,2,2,623,623,1,2,2,4,3,4,4,4,4,4,5,5,4.86,4.57,-2.18,-0.28,-2.52,0.14,-0.64,0.04,-0.42,1.09,-0.27,-0.11,1.25,0.44,1,0.42
141,1,2,53,61,2,2,254,254,3,4,2,4,2,4,4,4,4,3,3,4,2.71,4.29,-0.58,1.49,-2.52,0.69,-2.61,1.12,-0.63,-0.16,-0.84,-1.07,-1.47,-0.46,-2.58,-0.06
142,1,2,85,74,1,1,332,332,,2,,3,,3,,3,,4,3,4,3,3.86,,-0.03,,-1.32,,-1.57,,-0.79,,-0.11,-2.14,-0.01,-2.1,-0.78
143,1,2,68,76,5,5,14,14,2,2,4,4,4,4,5,4,4,4,5,5,4.71,4.71,-1.29,-0.28,0.4,0.51,0.44,-0.31,1.24,0.04,0.69,0.46,1.02,0.89,0.76,0.65
144,1,2,59,64,2,2,411,411,2,2,3,4,4,4,5,4,5,5,5,5,5,4.86,-1.11,-0.46,-0.88,0.51,0.79,-0.31,2.29,1.3,1.46,1.23,1.25,1.12,1.23,0.89
145,1,2,26,30,1,1,44,44,4,2,4,3,4,5,4,3,4,3,5,5,4.43,4.14,1.37,-0.1,0.76,-0.22,-0.1,1.83,0.2,-2.04,0.31,-1.45,0.8,0.89,0.28,-0.3
146,1,2,60,63,2,2,387,387,2,3,5,3,4,5,4,3,4,5,5,5,4.86,5,-1.65,0.43,1.86,-0.4,0.79,1.48,0.83,-1.63,0.31,1.04,1.02,1.12,1,1.13
147,1,2,67,69,2,2,485,485,3,3,4,2,4,3,4,4,5,5,5,4,4.57,4.57,-0.41,0.78,-0.33,-1.86,1.33,-0.67,1.04,1.3,1.27,1.42,0.57,0.21,0.52,0.42
148,1,2,39,38,2,2,182,182,4,3,5,3,3,3,4,4,5,4,5,5,4.86,4.57,0.84,0.25,1.13,-1.13,-1.35,-0.49,-0.42,-0.58,0.88,0.46,0.8,0.44,1,0.42
149,1,2,68,69,2,2,578,578,4,3,4,3,4,5,5,3,4,4,3,2,,,0.98,0.61,0.15,-0.95,0.26,1.66,1.24,-1.63,0.62,-0.3,-2.37,-2.95,,
150,1,2,66,78,4,5,213,213,3,1,4,5,5,4,4,4,4,5,4,4,3.29,4,-0.23,-1.7,0.21,1.97,1.51,1.3,-0.01,0.46,0.31,1.61,-0.56,-1.14,-1.63,-0.54
151,1,2,48,52,2,2,277,277,1,3,4,4,4,4,4,4,5,4,4,4,4.86,4.14,-2.36,0.07,0.76,0.87,0.26,0.76,0.41,-0.16,1.27,0.46,-0.11,0.21,1,-0.3
152,1,2,54,57,2,2,386,386,3,3,4,3,3,3,4,4,3,3,3,4,3.29,3.86,0.13,0.96,0.58,-0.56,-0.46,-1.03,-0.63,-0.37,-1.8,-0.88,-1.24,-0.01,-1.63,-0.78
153,1,2,54,54,2,2,17,17,3,1,4,5,4,5,4,5,5,5,5,5,4.43,4.86,-0.58,-1.7,0.94,2.15,0.44,2.37,-0.22,1.51,1.07,1.04,0.57,1.12,0.28,0.89
154,1,2,60,64,2,2,413,413,2,2,5,4,4,4,4,4,4,4,5,4,,,-0.94,-0.81,1.31,0.51,-0.28,0.58,-0.63,0.67,-0.27,0.66,1.02,-0.69,,
155,1,2,54,55,2,2,379,379,,4,,3,,4,,4,,3,5,4,,,,1.67,,-0.77,,0.22,,0.04,,-2.41,1.02,0.21,,
156,1,2,80,82,2,2,684,684,2,2,3,4,3,4,4,4,3,5,4,5,,,-1.09,-0.1,-1.24,0.51,-1.18,0.4,-0.22,0.67,-1.61,1.42,0.34,0.67,,
157,1,2,76,76,2,2,646,646,3,2,3,3,4,3,4,4,4,4,5,5,4.71,4.57,-0.58,-0.1,-0.7,-0.59,0.08,-1.03,0.83,0.04,-0.84,0.27,1.25,0.89,0.76,0.42
158,1,2,67,70,2,2,556,556,4,2,4,3,3,4,3,4,3,4,5,5,,,1.72,-0.28,0.21,-1.5,-1.89,-0.31,-1.89,0.88,-1.22,0.46,1.25,0.67,,
159,1,2,68,68,2,2,570,570,3,3,4,3,2,4,4,4,4,4,4,4,4.14,4.14,0.48,0.78,0.21,-0.22,-2.61,0.4,0.41,-0.58,-0.46,-0.11,0.34,0.21,-0.2,-0.3
160,1,2,75,74,2,2,619,619,2,1,3,4,3,4,4,4,4,4,5,5,5,4.71,-1.47,-1.52,-1.06,-0.04,-0.38,0.94,0.2,-0.37,0.69,-0.68,0.98,0.44,1.23,0.65
161,1,2,55,67,2,2,338,338,2,2,5,4,5,4,4,4,4,4,5,5,,,-1.82,-0.28,1.13,0.51,1.69,0.58,0.83,0.46,0.69,0.66,1.02,0.67,,
162,1,2,48,47,2,2,252,252,2,2,4,3,4,4,4,4,5,4,4,5,,,-1.29,-0.28,0.94,-0.59,0.08,0.22,0.83,0.46,0.88,0.27,-0.11,0.44,,
163,1,2,58,58,6,6,200,200,3,2,4,4,3,3,3,4,4,4,5,4,,,-0.58,-0.1,0.94,-0.04,-0.46,-2.1,-1.26,-0.16,-0.46,0.27,0.8,-0.01,,
164,1,2,78,79,2,2,665,665,4,2,2,4,3,3,4,3,4,4,5,5,5,5,1.01,-0.99,-2.16,0.33,-1.35,-1.21,0.2,-1,0.5,0.46,1.25,1.12,1.23,1.13
165,1,2,53,56,2,2,390,390,2,2,5,4,4,4,5,4,5,3,5,5,4.86,4.71,-2,-0.46,1.86,1.24,1.33,1.3,2.08,1.09,1.65,-1.07,1.02,0.67,1,0.65
166,1,2,80,77,2,2,624,624,3,3,5,3,4,4,5,3,3,3,4,3,4.14,3,0.13,0.61,1.67,-1.13,0.79,0.04,1.66,-1,-1.41,-0.88,-0.56,-1.82,-0.2,-2.2
167,1,2,75,77,2,2,589,589,4,2,2,3,3,4,4,4,4,4,3,4,3.29,3.71,1.01,-0.64,-2.89,-1.5,-1.18,0.04,0.41,0.88,-0.84,-0.3,-1.69,-0.92,-1.63,-1.01
168,1,2,62,63,2,2,391,391,2,2,4,3,3,4,4,3,4,5,5,5,4.57,4.71,-1.82,-1.17,0.21,-0.95,-1.18,0.76,-0.01,-1.83,0.5,1.61,0.8,0.44,0.52,0.65
169,1,2,69,73,2,2,600,600,2,3,3,3,3,4,4,3,4,3,4,4,,,-1.29,0.96,-0.7,-0.59,-1,-0.13,-0.22,-1,0.5,-1.45,-0.33,-0.69,,
170,1,2,40,45,2,2,160,160,3,2,4,4,3,4,3,3,4,4,4,4,,,-0.23,-0.64,0.58,1.06,-0.82,-0.31,-2.3,-1.63,-0.27,0.85,-0.11,0.21,,
171,1,2,75,81,1,5,180,180,2,2,3,3,4,4,4,4,4,4,4,5,,,-0.94,-1.35,-0.88,-0.59,0.79,1.3,-0.42,0.67,0.12,-0.68,-0.56,0.67,,
172,1,2,47,52,2,2,269,269,3,2,4,5,4,4,4,4,4,4,5,5,4.86,4.71,-0.41,-0.99,0.21,1.79,0.61,0.94,-0.42,0.25,0.12,0.46,0.57,0.89,1,0.65
173,1,2,79,83,2,2,665,665,2,1,4,4,4,3,5,5,4,5,4,5,4,4.86,-1.65,-1.7,0.58,-0.04,0.61,-1.21,1.24,1.71,-0.65,1.42,-0.33,1.12,-0.43,0.89
174,1,2,54,59,2,2,351,351,4,2,3,4,4,4,5,4,4,5,4,5,4.57,4.29,0.84,-0.81,-0.7,0.27,0.61,0.58,1.45,1.3,-0.07,1.04,0.34,0.44,0.52,-0.06
175,1,2,84,88,2,2,746,746,3,3,4,4,4,4,5,4,5,4,4,5,,,0.3,1.14,0.58,-0.04,-0.28,0.04,2.08,-0.58,0.88,0.85,0.12,0.67,,
176,1,2,20,29,1,1,22,22,3,3,4,3,4,4,3,3,3,4,5,5,4.86,4.86,0.66,0.96,-0.33,-1.13,0.61,0.58,-1.05,-0.79,-1.03,-0.11,0.8,1.12,1,0.89
177,1,2,19,22,1,1,12,12,3,2,3,3,4,4,3,4,4,4,4,4,4.71,4.71,0.48,-0.81,-0.7,-0.4,-0.1,-0.31,-1.68,-0.37,-0.46,0.08,0.34,-0.01,0.76,0.65
178,1,2,19,21,1,1,33,33,2,2,4,3,4,3,5,4,3,3,4,4,,,-1.47,-0.46,-0.15,-1.32,0.61,-0.85,1.66,0.88,-1.8,-0.88,-0.11,0.21,,
179,1,2,52,53,2,2,313,313,2,3,4,4,3,4,5,4,4,5,4,4,3.71,3.14,-2,0.61,0.76,0.69,-0.46,0.04,1.24,1.09,0.31,1.04,-0.79,-0.99,-0.91,-1.97
180,1,2,20,26,1,1,46,46,3,2,4,3,3,3,4,4,3,5,4,5,,,-0.05,-0.64,0.4,-1.32,-0.46,-1.39,-0.42,0.04,-1.22,1.23,0.12,0.44,,
181,1,2,20,23,1,1,68,68,3,3,4,3,3,4,4,4,4,4,4,4,,,-0.41,0.61,0.4,-0.22,-0.46,0.94,1.04,-0.16,0.31,-0.68,-0.11,-0.46,,
182,1,2,20,21,1,1,35,35,3,3,3,3,4,4,4,4,3,3,4,5,,,0.3,0.96,-1.06,-0.95,0.97,0.04,-0.01,-0.58,-1.61,-0.88,0.34,0.89,,
183,1,2,58,60,2,2,404,404,3,3,4,4,4,3,4,4,4,4,5,5,,,-0.41,0.07,0.03,0.07,0.02,-1.39,-0.22,0.67,0.5,0.27,1.25,0.67,,
184,1,2,47,50,2,2,267,267,4,2,4,4,4,4,4,4,4,3,3,4,,,1.37,-0.64,-0.15,0.14,-0.1,1.3,-0.84,0.04,0.12,-2.22,-1.69,-1.14,,
185,1,2,30,29,1,1,57,57,3,2,3,4,4,4,4,4,3,3,5,4,5,5,-0.23,-0.46,-0.51,0.69,0.44,0.22,0.83,0.25,-1.03,-0.88,1.25,0.21,1.23,1.13
186,1,2,28,24,1,1,14,14,3,2,4,3,4,3,4,3,4,4,5,5,4.29,3,0.48,-0.1,0.94,-1.32,-0.28,-0.67,-0.42,-1.21,0.12,0.66,1.02,0.89,0.04,-2.2
187,1,2,58,63,2,2,400,400,3,3,3,3,3,3,4,4,4,4,4,5,3.57,4.29,-0.28,0.43,-1.24,-0.22,-1.53,-1.75,-0.63,0.04,0.5,0.46,-0.33,0.44,-1.15,-0.06
188,1,2,21,21,1,1,88,88,3,2,4,4,3,3,3,4,5,2,5,5,,,-0.41,-0.99,0.76,-0.04,-0.82,-1.03,-1.05,1.3,0.88,-2.6,1.25,0.67,,
189,1,2,49,50,2,2,277,277,3,2,4,3,5,4,3,4,4,5,3,3,3,2.71,-0.23,-0.46,0.81,-0.59,1.87,-0.31,-2.51,0.25,-0.84,1.04,-2.37,-2.05,-2.1,-2.68
190,1,2,79,79,2,2,651,651,3,3,3,4,4,4,4,4,4,4,4,,4.29,4.43,-0.58,0.61,-0.7,0.14,-0.28,-0.31,-0.22,0.67,-0.29,0.66,0.34,,0.04,0.18
191,1,2,20,20,1,1,28,28,4,3,4,4,4,3,3,4,4,4,5,4,4.71,4.71,1.37,1.14,0.76,0.14,0.61,-0.49,-1.68,-0.16,0.69,-0.49,1.25,-0.01,0.76,0.65
192,1,2,21,22,1,1,65,65,4,2,2,2,3,3,3,4,3,4,5,4,4.57,4.14,1.55,-0.28,-2.34,-2.41,-1,-1.21,-1.05,1.3,-1.8,0.08,1.02,-0.24,0.52,-0.3
193,1,2,44,43,2,2,240,240,2,2,4,4,4,4,4,4,4,4,5,5,4.71,5,-1.47,-0.1,0.58,0.14,-0.28,1.12,0.2,0.67,0.31,-0.49,0.57,1.12,0.76,1.13
194,1,2,20,21,1,1,30,30,2,1,5,4,4,3,4,4,4,3,5,5,4.86,5,-1.11,-1.52,1.13,0.51,0.79,-0.85,0.62,1.3,-0.84,-1.64,1.25,0.89,1,1.13
195,1,2,48,51,2,2,270,270,2,2,4,4,4,4,4,4,4,4,4,4,4.71,4.14,-1.29,-0.64,0.03,0.14,-0.1,-0.31,1.04,1.09,0.12,0.08,-0.11,-0.46,0.76,-0.3
196,1,2,72,77,2,2,627,627,3,3,4,3,4,3,3,3,4,4,4,4,3.71,4,0.3,0.61,-0.15,-0.22,0.61,-1.21,-1.05,-1,0.31,-0.49,-1.01,-0.92,-0.91,-0.54
197,1,2,58,55,2,2,278,278,3,3,4,4,4,4,3,3,4,4,3,1,,,0.3,1.14,-0.15,0.51,0.61,1.3,-1.26,-1.63,-0.5,-0.49,-2.14,-5.21,,
198,1,2,50,50,2,2,282,282,3,3,4,5,4,5,4,4,4,4,4,4,4.71,4,0.3,0.07,0.19,1.79,0.44,1.48,-0.63,0.88,-0.07,0.08,0.34,0.21,0.76,-0.54
199,1,2,20,23,1,1,15,15,4,2,4,5,4,4,3,4,4,4,5,5,4,3.57,0.94,-0.81,0.03,1.97,0.08,0.22,-1.26,0.04,0.69,0.08,0.8,0.44,-0.43,-1.25
200,1,2,42,45,2,2,148,148,3,2,4,3,4,3,4,4,4,5,5,4,4.86,4.43,-0.23,-1.35,0.58,-0.77,0.44,-0.49,0.62,1.09,0.69,1.04,1.02,0.21,1,0.18
201,1,2,20,22,1,1,9,9,3,3,4,3,3,3,3,3,4,3,4,4,4.43,4.29,0.66,0.78,0.03,-0.95,-1.35,-1.03,-1.68,-1.21,-0.84,-2.41,-0.33,-0.46,0.28,-0.06
202,1,2,25,26,1,1,81,81,4,3,3,4,4,4,4,4,4,4,4,4,4.71,4.43,1.01,0.96,-0.7,0.33,-0.28,1.12,0.41,-0.58,-0.84,0.27,-0.33,-0.24,0.76,0.18
203,1,2,22,22,1,1,34,34,3,4,4,4,5,4,4,4,3,4,3,4,3.14,3.57,-0.58,1.49,0.4,0.14,1.87,0.22,-0.01,-0.37,-1.61,-0.11,-1.69,0.21,-1.86,-1.25
204,1,2,48,49,2,2,274,274,4,3,4,5,5,4,4,3,4,5,4,4,3.29,3.71,1.55,0.43,0.21,1.79,1.69,1.3,-0.22,-1.42,0.12,1.23,-0.33,-0.92,-1.63,-1.01
205,1,2,21,30,1,1,27,27,4,2,3,4,3,4,4,3,4,4,5,4,,,1.72,-0.99,-1.43,1.24,-1.89,0.4,-0.42,-0.7,0.31,0.27,0.57,-0.46,,
206,1,2,53,53,2,2,273,273,3,2,3,4,4,4,3,4,4,4,3,4,,,-0.23,-0.28,-1.61,0.14,0.79,1.12,-1.05,0.04,0.12,0.08,-1.24,-0.01,,
207,1,2,78,86,2,2,703,703,3,3,4,4,4,4,4,4,4,5,5,5,,,0.48,0.43,-0.15,-0.04,-0.28,0.4,-0.42,1.09,0.31,1.42,1.02,0.89,,
208,1,2,21,21,1,1,36,36,3,4,3,3,3,3,4,3,4,3,4,5,4.71,4.57,-0.58,1.85,-0.51,-0.77,-1.18,-1.39,-0.84,-1.83,0.12,-1.07,-0.33,0.44,0.76,0.42
209,1,2,50,50,2,2,305,305,2,3,5,3,3,4,4,2,4,5,2,3,,,-1.82,0.96,1.31,-0.95,-1.53,1.3,0.41,-3.92,0.12,1.04,-3.05,-2.05,,
210,1,2,21,22,1,1,44,44,3,2,3,4,4,5,4,4,5,4,5,5,5,4.86,-0.05,-0.46,-1.06,0.69,0.61,2.01,-0.22,1.3,1.46,0.85,1.02,0.89,1.23,0.89
211,1,2,77,79,2,2,663,663,2,1,4,5,4,4,5,5,5,5,5,5,,,-1.65,-1.52,0.94,1.42,0.79,0.76,1.24,1.71,1.65,1.8,1.25,1.12,,
212,1,2,19,21,1,1,30,30,4,2,3,4,4,4,4,3,3,3,4,4,,,1.01,-0.46,-0.51,1.06,1.15,0.4,-0.22,-1,-1.41,-1.64,0.34,-0.69,,
213,1,2,80,79,2,2,669,669,3,3,4,3,3,4,4,4,5,5,5,5,5,5,0.66,0.07,0.21,-0.4,-0.64,0.4,0.2,0.04,1.46,1.61,0.8,1.12,1.23,1.13
214,1,2,74,78,2,2,608,608,4,4,3,4,4,5,4,3,4,5,5,4,4.29,4.86,1.37,2.38,-0.51,-0.04,0.44,2.19,0.2,-1.83,-0.07,1.04,0.57,-0.24,0.04,0.89
215,1,2,19,21,1,1,25,25,4,2,4,5,2,4,4,4,3,5,4,5,,,0.84,-0.28,0.94,1.79,-2.79,1.3,-0.22,0.04,-1.03,1.61,0.34,1.12,,
216,1,2,53,56,2,2,367,367,4,3,4,3,4,3,3,4,4,4,4,3,3,3.71,0.84,0.61,-0.33,-1.32,0.08,-1.39,-1.26,-0.58,-0.84,-0.3,-1.01,-1.37,-2.1,-1.01
217,1,2,79,80,2,2,667,667,3,2,4,2,3,3,4,3,3,3,4,5,,,0.48,-0.1,0.76,-1.86,-1.35,-1.21,-0.42,-0.79,-1.99,-2.03,-0.33,0.44,,
218,1,2,60,62,2,2,411,411,3,1,2,5,3,4,4,5,4,5,5,5,,,0.48,-2.06,-2.52,1.79,-1.18,0.94,1.04,1.51,-0.46,1.04,0.57,0.89,,
219,1,2,48,48,2,2,293,293,3,3,4,3,3,3,4,4,4,4,4,5,4,4.67,0.66,0.61,-0.15,-1.32,-0.82,-0.67,-0.22,0.25,0.5,-0.49,0.34,0.67,-0.43,0.58
220,1,2,71,68,2,2,583,583,3,3,4,4,3,4,4,4,5,4,5,5,4.29,4.86,0.53,0.07,0.76,0.14,-1.18,0.4,0.62,0.46,1.27,0.27,0.8,0.89,0.04,0.89
221,1,2,45,53,2,2,262,262,3,3,4,3,3,4,4,5,4,4,5,4,,,0.3,0.78,-0.33,-0.4,-1,-0.31,0.83,1.51,-0.27,-0.11,0.8,-0.24,,
222,1,2,20,23,1,1,16,16,4,2,3,4,4,4,3,4,4,2,4,4,3.71,2.86,1.01,-0.99,-0.51,0.87,0.61,0.4,-1.26,-0.37,-0.07,-2.79,0.34,-0.92,-0.91,-2.44
223,1,2,56,55,2,2,304,304,3,2,4,4,4,3,4,4,4,5,3,4,3,4,0.3,-1.17,0.94,0.87,0.44,-0.67,0.41,-0.16,0.12,1.04,-2.14,-0.69,-2.1,-0.54
224,1,2,54,58,2,2,318,318,3,3,3,4,4,4,4,4,4,4,4,4,,,0.66,0.61,-0.51,0.33,0.61,0.76,-0.42,0.04,-0.46,0.08,-0.56,-0.46,,
225,1,2,77,80,2,2,681,681,3,3,4,4,4,5,4,5,5,5,5,5,5,5,-0.41,0.25,0.21,0.14,1.15,1.48,0.83,1.51,1.65,1.8,0.8,0.44,1.23,1.13
226,1,2,20,21,1,1,18,18,3,2,4,3,4,3,4,4,4,3,5,4,4.71,4.86,0.66,-0.99,0.03,-0.77,0.79,-0.85,-0.22,0.67,-0.46,-0.88,1.25,-0.01,0.76,0.89
227,1,2,54,58,2,2,411,411,3,3,4,2,3,4,4,4,5,3,4,5,4.43,4.71,0.3,0.96,0.58,-1.86,-0.64,0.76,0.41,-0.58,1.07,-0.88,0.34,0.89,0.28,0.65
228,1,2,46,49,2,2,267,267,3,2,3,4,3,3,4,5,5,5,4,5,4.14,4.71,0.3,-0.64,-1.06,0.14,-1.71,-0.49,0.41,1.51,1.27,1.8,0.34,0.67,-0.2,0.65
229,1,2,77,81,2,2,616,616,3,3,3,4,3,3,5,4,4,4,4,5,4.29,4.86,0.13,0.07,-0.51,0.69,-1.53,-1.75,1.24,-0.58,0.12,-0.68,0.34,0.67,0.04,0.89
230,1,2,50,51,2,2,305,305,2,2,4,3,4,4,3,3,5,4,4,4,,,-0.94,-0.81,0.94,-0.4,0.61,0.94,-1.26,-1,1.07,0.27,0.12,-0.24,,
231,1,2,81,83,2,2,654,654,3,3,4,2,4,2,4,4,4,3,4,4,4,4.29,0.48,0.61,-0.33,-1.86,-0.28,-3,0.62,0.88,0.5,-0.88,-0.56,-0.01,-0.43,-0.06
232,1,2,47,46,2,2,251,251,3,2,3,4,3,4,4,4,4,4,4,4,4.29,4.43,-0.23,-0.64,-0.51,0.87,-0.64,0.04,-0.42,-0.37,0.69,0.46,0.12,-0.01,0.04,0.18
233,1,2,51,51,2,2,285,285,2,2,3,2,4,4,4,4,4,3,4,4,4.71,4.57,-2,-0.43,-0.51,-1.68,-0.1,1.12,0.2,1.09,0.31,-1.07,-0.33,-0.01,0.76,0.42
234,1,2,25,29,1,1,22,22,2,3,4,3,4,3,4,4,4,4,5,4,,,-1.29,1.14,0.94,-0.77,0.61,-0.85,-0.01,-0.37,0.69,0.27,0.8,0.21,,
235,1,2,29,29,1,1,85,85,3,3,4,4,4,5,4,4,4,4,4,5,3.57,4.43,0.66,0.43,-0.15,-0.04,0.61,1.66,0.2,-0.58,-0.07,0.08,0.34,0.67,-1.15,0.18
236,1,2,25,25,1,1,82,82,2,3,4,3,4,3,4,4,5,3,4,4,4.57,4.43,-1.29,0.07,0.94,-0.59,0.44,-0.49,0.41,-0.16,1.07,-1.64,0.34,0.21,0.52,0.18
237,1,2,59,60,2,2,416,416,4,2,4,4,4,4,4,3,4,4,4,5,4,4.57,1.19,-0.46,0.76,0.69,0.26,0.4,0.62,-0.79,0.31,0.08,-0.11,0.89,-0.43,0.42
